Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","129","Madagascar","5510","Production","486","Bananas","2018","2018","tonnes","383522","Im","FAO data based on imputation methodology"
"QC","Crops","130","Malawi","5510","Production","486","Bananas","2018","2018","tonnes","441282","Im","FAO data based on imputation methodology"
"QC","Crops","131","Malaysia","5510","Production","486","Bananas","2018","2018","tonnes","376589","Im","FAO data based on imputation methodology"
"QC","Crops","132","Maldives","5510","Production","486","Bananas","2018","2018","tonnes","334","","Official data"
"QC","Crops","133","Mali","5510","Production","486","Bananas","2018","2018","tonnes","187011","Im","FAO data based on imputation methodology"
"QC","Crops","135","Martinique","5510","Production","486","Bananas","2018","2018","tonnes","174084","Im","FAO data based on imputation methodology"
"QC","Crops","137","Mauritius","5510","Production","486","Bananas","2018","2018","tonnes","7333","","Official data"
"QC","Crops","138","Mexico","5510","Production","486","Bananas","2018","2018","tonnes","2354479","","Official data"
"QC","Crops","145","Micronesia (Federated States of)","5510","Production","486","Bananas","2018","2018","tonnes","2035","Im","FAO data based on imputation methodology"
"QC","Crops","142","Montserrat","5510","Production","486","Bananas","2018","2018","tonnes","201","Im","FAO data based on imputation methodology"
"QC","Crops","143","Morocco","5510","Production","486","Bananas","2018","2018","tonnes","319950","","Official data"
"QC","Crops","144","Mozambique","5510","Production","486","Bananas","2018","2018","tonnes","578437","Im","FAO data based on imputation methodology"
"QC","Crops","149","Nepal","5510","Production","486","Bananas","2018","2018","tonnes","254403","","Official data"
"QC","Crops","153","New Caledonia","5510","Production","486","Bananas","2018","2018","tonnes","1541","Im","FAO data based on imputation methodology"
"QC","Crops","157","Nicaragua","5510","Production","486","Bananas","2018","2018","tonnes","108832","","Official data"
"QC","Crops","160","Niue","5510","Production","486","Bananas","2018","2018","tonnes","81","Im","FAO data based on imputation methodology"
"QC","Crops","221","Oman","5510","Production","486","Bananas","2018","2018","tonnes","18265","","Official data"
"QC","Crops","165","Pakistan","5510","Production","486","Bananas","2018","2018","tonnes","135056","","Official data"
"QC","Crops","299","Palestine","5510","Production","486","Bananas","2018","2018","tonnes","3118","Im","FAO data based on imputation methodology"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2018","2018","tonnes","274898","Im","FAO data based on imputation methodology"
"QC","Crops","168","Papua New Guinea","5510","Production","486","Bananas","2018","2018","tonnes","1383174","Im","FAO data based on imputation methodology"
"QC","Crops","169","Paraguay","5510","Production","486","Bananas","2018","2018","tonnes","75868","","Official data"
"QC","Crops","170","Peru","5510","Production","486","Bananas","2018","2018","tonnes","134604","Im","FAO data based on imputation methodology"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2018","2018","tonnes","6144374","","Official data"
"QC","Crops","174","Portugal","5510","Production","486","Bananas","2018","2018","tonnes","22254","","Official data"
"QC","Crops","177","Puerto Rico","5510","Production","486","Bananas","2018","2018","tonnes","74845","Im","FAO data based on imputation methodology"
"QC","Crops","117","Republic of Korea","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available"
"QC","Crops","182","Réunion","5510","Production","486","Bananas","2018","2018","tonnes","10466","Im","FAO data based on imputation methodology"
"QC","Crops","184","Rwanda","5510","Production","486","Bananas","2018","2018","tonnes","1739007","","Official data"
"QC","Crops","189","Saint Lucia","5510","Production","486","Bananas","2018","2018","tonnes","7486","Im","FAO data based on imputation methodology"
"QC","Crops","191","Saint Vincent and the Grenadines","5510","Production","486","Bananas","2018","2018","tonnes","59464","Im","FAO data based on imputation methodology"
"QC","Crops","244","Samoa","5510","Production","486","Bananas","2018","2018","tonnes","22558","Im","FAO data based on imputation methodology"
"QC","Crops","193","Sao Tome and Principe","5510","Production","486","Bananas","2018","2018","tonnes","6293","","Official data"
"QC","Crops","195","Senegal","5510","Production","486","Bananas","2018","2018","tonnes","30541","Im","FAO data based on imputation methodology"
"QC","Crops","196","Seychelles","5510","Production","486","Bananas","2018","2018","tonnes","1987","Im","FAO data based on imputation methodology"
"QC","Crops","200","Singapore","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available"
"QC","Crops","25","Solomon Islands","5510","Production","486","Bananas","2018","2018","tonnes","313","Im","FAO data based on imputation methodology"
"QC","Crops","201","Somalia","5510","Production","486","Bananas","2018","2018","tonnes","20905","Im","FAO data based on imputation methodology"
"QC","Crops","202","South Africa","5510","Production","486","Bananas","2018","2018","tonnes","444879","","Official data"
"QC","Crops","203","Spain","5510","Production","486","Bananas","2018","2018","tonnes","386226","","Official data"
"QC","Crops","276","Sudan","5510","Production","486","Bananas","2018","2018","tonnes","951233","Im","FAO data based on imputation methodology"
"QC","Crops","207","Suriname","5510","Production","486","Bananas","2018","2018","tonnes","48835","","Official data"
"QC","Crops","212","Syrian Arab Republic","5510","Production","486","Bananas","2018","2018","tonnes","154","Im","FAO data based on imputation methodology"
"QC","Crops","216","Thailand","5510","Production","486","Bananas","2018","2018","tonnes","1045352","Im","FAO data based on imputation methodology"
"QC","Crops","176","Timor-Leste","5510","Production","486","Bananas","2018","2018","tonnes","566","Im","FAO data based on imputation methodology"
"QC","Crops","217","Togo","5510","Production","486","Bananas","2018","2018","tonnes","26820","Im","FAO data based on imputation methodology"
"QC","Crops","218","Tokelau","5510","Production","486","Bananas","2018","2018","tonnes","16","Im","FAO data based on imputation methodology"
"QC","Crops","219","Tonga","5510","Production","486","Bananas","2018","2018","tonnes","777","Im","FAO data based on imputation methodology"
"QC","Crops","220","Trinidad and Tobago","5510","Production","486","Bananas","2018","2018","tonnes","3085","Im","FAO data based on imputation methodology"
"QC","Crops","223","Turkey","5510","Production","486","Bananas","2018","2018","tonnes","498888","","Official data"
"QC","Crops","227","Tuvalu","5510","Production","486","Bananas","2018","2018","tonnes","292","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5510","Production","486","Bananas","2018","2018","tonnes","532370","Im","FAO data based on imputation methodology"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2018","2018","tonnes","204","Im","FAO data based on imputation methodology"
"QC","Crops","215","United Republic of Tanzania","5510","Production","486","Bananas","2018","2018","tonnes","3469091","Im","FAO data based on imputation methodology"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2018","2018","tonnes","4274","Im","FAO data based on imputation methodology"
"QC","Crops","240","United States Virgin Islands","5510","Production","486","Bananas","2018","2018","tonnes","","M","Data not available"
"QC","Crops","155","Vanuatu","5510","Production","486","Bananas","2018","2018","tonnes","16787","Im","FAO data based on imputation methodology"
"QC","Crops","236","Venezuela (Bolivarian Republic of)","5510","Production","486","Bananas","2018","2018","tonnes","448315","Im","FAO data based on imputation methodology"
"QC","Crops","237","Viet Nam","5510","Production","486","Bananas","2018","2018","tonnes","2087275","","Official data"
"QC","Crops","243","Wallis and Futuna Islands","5510","Production","486","Bananas","2018","2018","tonnes","6493","Im","FAO data based on imputation methodology"
"QC","Crops","249","Yemen","5510","Production","486","Bananas","2018","2018","tonnes","116322","Im","FAO data based on imputation methodology"
"QC","Crops","251","Zambia","5510","Production","486","Bananas","2018","2018","tonnes","652","Im","FAO data based on imputation methodology"
"QC","Crops","181","Zimbabwe","5510","Production","486","Bananas","2018","2018","tonnes","106058","Im","FAO data based on imputation methodology"
